term	genes_in_set	total_genes_in_set	genes_in_universe	total_genes_in_universe	pvalue	adj_pvalue
chlorocyclohexane and chlorobenzene degradation	0	420	5	5893	1.0	1.0
citrate cycle (tca cycle)	3	420	33	5893	0.421283911143729	0.8645981716072063
cyanoamino acid metabolism	5	420	11	5893	0.0005787825583997238	0.005342608231382066
cysteine and methionine metabolism	5	420	40	5893	0.15271952923155194	0.46835519317693297
d-alanine metabolism	1	420	4	5893	0.25608711470010276	0.6680533426959202
d-arginine and d-ornithine metabolism	0	420	2	5893	1.0	1.0
d-glutamine and d-glutamate metabolism	0	420	5	5893	1.0	1.0
degradation of aromatic compounds	1	420	26	5893	0.8543633708470749	1.0
dna replication	1	420	17	5893	0.7159842159029086	1.0
ether lipid metabolism	0	420	3	5893	1.0	1.0
fatty acid biosynthesis	6	420	26	5893	0.008550690117843094	0.06840552094274475
fatty acid degradation	6	420	33	5893	0.027004299168019472	0.1505961809571166
fatty acid metabolism	11	420	49	5893	0.0005177943422682989	0.005177943422682988
flagellar assembly	3	420	35	5893	0.4597829393507615	0.8757770273347837
fluorobenzoate degradation	0	420	8	5893	1.0	1.0
folate biosynthesis	1	420	25	5893	0.8431358774088964	1.0
fructose and mannose metabolism	5	420	18	5893	0.007074638603659828	0.060639759459941385
galactose metabolism	1	420	4	5893	0.25608711470010276	0.6680533426959202
geraniol degradation	4	420	16	5893	0.02328171376124804	0.14210268111511282
glutathione metabolism	4	420	27	5893	0.12194025754561862	0.44341911834770403
glycerolipid metabolism	0	420	14	5893	1.0	1.0
glycerophospholipid metabolism	3	420	28	5893	0.32190969861837243	0.7513631537050598
glycine, serine and threonine metabolism	8	420	50	5893	0.023683780185852134	0.14210268111511282
glycolysis / gluconeogenesis	7	420	37	5893	0.014117235504597965	0.09965107415010328
glyoxylate and dicarboxylate metabolism	6	420	57	5893	0.2182318514371953	0.6235195755348438
histidine metabolism	0	420	23	5893	1.0	1.0
homologous recombination	1	420	24	5893	0.8310450476290976	1.0
inositol phosphate metabolism	0	420	7	5893	1.0	1.0
limonene and pinene degradation	0	420	7	5893	1.0	1.0
lipoic acid metabolism	1	420	2	5893	0.13747367773377384	0.4582455924459128
lipopolysaccharide biosynthesis	1	420	22	5893	0.8040034514812932	1.0
lysine biosynthesis	3	420	15	5893	0.08621145368189824	0.3567370497181996
lysine degradation	3	420	19	5893	0.14935588142855402	0.46835519317693297
metabolic pathways	87	420	800	5893	1.7879191649391733e-05	0.00030650042827528684
methane metabolism	5	420	26	5893	0.03397510869320489	0.17562450046198114
microbial metabolism in diverse environments	39	420	264	5893	7.757515813106441e-06	0.0001940762278389146
mismatch repair	1	420	19	5893	0.7551376940804002	1.0
monobactam biosynthesis	2	420	9	5893	0.13081142167756682	0.4582455924459128
naphthalene degradation	1	420	2	5893	0.13747367773377384	0.4582455924459128
nicotinate and nicotinamide metabolism	1	420	21	5893	0.7889046711477248	1.0
nitrogen metabolism	3	420	36	5893	0.4786205472923276	0.8836071642319895
nitrotoluene degradation	0	420	2	5893	1.0	1.0
non-homologous end-joining	0	420	2	5893	1.0	1.0
novobiocin biosynthesis	0	420	5	5893	1.0	1.0
nucleotide excision repair	2	420	8	5893	0.10659607068893037	0.41138952351612196
one carbon pool by folate	1	420	18	5893	0.736284867592159	1.0
oxidative phosphorylation	2	420	55	5893	0.9115581250670461	1.0
pantothenate and coa biosynthesis	4	420	22	5893	0.0669006270747168	0.2867169731773577
pentose and glucuronate interconversions	0	420	7	5893	1.0	1.0
pentose phosphate pathway	10	420	26	5893	5.7216743869685735e-06	0.0001940762278389146
peptidoglycan biosynthesis	1	420	21	5893	0.7889046711477248	1.0
phenylalanine metabolism	1	420	25	5893	0.8431358774088964	1.0
phenylalanine, tyrosine and tryptophan biosynthesis	2	420	30	5893	0.6413951093380037	1.0
phosphonate and phosphinate metabolism	1	420	10	5893	0.52287157751612	0.9227145485578588
phosphotransferase system (pts)	1	420	5	5893	0.30914254207864933	0.7513631537050598
polyketide sugar unit biosynthesis	0	420	5	5893	1.0	1.0
porphyrin and chlorophyll metabolism	4	420	43	5893	0.36768852663445273	0.7879039856452559
propanoate metabolism	7	420	48	5893	0.05173750355568099	0.23878847794929686
protein export	2	420	17	5893	0.3443747787814857	0.7513631537050598
purine metabolism	9	420	79	5893	0.1076367964205304	0.41138952351612196
pyrimidine metabolism	4	420	47	5893	0.4336801689208907	0.8645981716072063
pyruvate metabolism	16	420	62	5893	4.302330855162006e-06	0.0001940762278389146
quorum sensing	7	420	101	5893	0.5873055118151834	0.9926290340538311
riboflavin metabolism	0	420	10	5893	1.0	1.0
ribosome	4	420	55	5893	0.5583449345049063	0.9571627448655536
rna degradation	1	420	16	5893	0.6941248372524552	1.0
rna polymerase	2	420	4	5893	0.02760929984213804	0.1505961809571166
selenocompound metabolism	1	420	10	5893	0.52287157751612	0.9227145485578588
sphingolipid metabolism	0	420	2	5893	1.0	1.0
starch and sucrose metabolism	2	420	16	5893	0.3175251498899036	0.7513631537050598
streptomycin biosynthesis	1	420	8	5893	0.44670905533038996	0.8645981716072063
styrene degradation	1	420	11	5893	0.5569347999256378	0.9571627448655536
sulfur metabolism	2	420	49	5893	0.8739538904192855	1.0
sulfur relay system	1	420	18	5893	0.736284867592159	1.0
synthesis and degradation of ketone bodies	2	420	10	5893	0.15611839772564431	0.46835519317693297
taurine and hypotaurine metabolism	3	420	9	5893	0.02184234223118887	0.14210268111511282
terpenoid backbone biosynthesis	2	420	16	5893	0.3175251498899036	0.7513631537050598
thiamine metabolism	0	420	13	5893	1.0	1.0
toluene degradation	0	420	3	5893	1.0	1.0
tryptophan metabolism	4	420	26	5893	0.10970387293763252	0.41138952351612196
two-component system	13	420	204	5893	0.7050459426335436	1.0
tyrosine metabolism	1	420	27	5893	0.864789037154444	1.0
ubiquinone and other terpenoid-quinone biosynthesis	1	420	17	5893	0.7159842159029086	1.0
valine, leucine and isoleucine biosynthesis	7	420	19	5893	0.000210849793385339	0.0025301975206240683
valine, leucine and isoleucine degradation	7	420	47	5893	0.04693970548153362	0.22531058631136136
vancomycin resistance	1	420	9	5893	0.4861962595363253	0.883993199156955
vitamin b6 metabolism	0	420	9	5893	1.0	1.0
xylene degradation	0	420	5	5893	1.0	1.0
