term,genes_in_set,total_genes_in_set,genes_in_universe,total_genes_in_universe,pvalue,adj_pvalue
glutathione metabolism,1,274,27,5893,0.724294971,1
glycerolipid metabolism,1,274,14,5893,0.486915687,1
glycerophospholipid metabolism,3,274,28,5893,0.138976187,0.847631416
"glycine, serine and threonine metabolism",4,274,50,5893,0.201694652,0.847631416
glycolysis / gluconeogenesis,4,274,37,5893,0.090939912,0.83176545
glyoxylate and dicarboxylate metabolism,6,274,57,5893,0.047678439,0.776512638
histidine metabolism,0,274,23,5893,1,1
homologous recombination,2,274,24,5893,0.307799583,1
inositol phosphate metabolism,0,274,7,5893,1,1
limonene and pinene degradation,0,274,7,5893,1,1
lipoic acid metabolism,0,274,2,5893,1,1
lipopolysaccharide biosynthesis,0,274,22,5893,1,1
lysine biosynthesis,0,274,15,5893,1,1
lysine degradation,1,274,19,5893,0.595877167,1
metabolic pathways,40,274,800,5893,0.332747713,1
methane metabolism,3,274,26,5893,0.117833439,0.83176545
microbial metabolism in diverse environments,17,274,264,5893,0.106565731,0.83176545
mismatch repair,2,274,19,5893,0.220254337,0.852597434
monobactam biosynthesis,0,274,9,5893,1,1
naphthalene degradation,0,274,2,5893,1,1
nicotinate and nicotinamide metabolism,2,274,21,5893,0.255236969,0.957138633
nitrogen metabolism,1,274,36,5893,0.820799218,1
nitrotoluene degradation,0,274,2,5893,1,1
non-homologous end-joining,0,274,2,5893,1,1
novobiocin biosynthesis,0,274,5,5893,1,1
nucleotide excision repair,0,274,8,5893,1,1
one carbon pool by folate,2,274,18,5893,0.202912687,0.847631416
oxidative phosphorylation,1,274,55,5893,0.92799346,1
pantothenate and coa biosynthesis,0,274,22,5893,1,1
pentose and glucuronate interconversions,0,274,7,5893,1,1
pentose phosphate pathway,3,274,26,5893,0.117833439,0.83176545
peptidoglycan biosynthesis,0,274,21,5893,1,1
phenylalanine metabolism,3,274,25,5893,0.107754401,0.83176545
"phenylalanine, tyrosine and tryptophan biosynthesis",1,274,30,5893,0.761158872,1
phosphonate and phosphinate metabolism,0,274,10,5893,1,1
phosphotransferase system (pts),1,274,5,5893,0.211907854,0.847631416
polyketide sugar unit biosynthesis,1,274,5,5893,0.211907854,0.847631416
porphyrin and chlorophyll metabolism,0,274,43,5893,1,1
propanoate metabolism,3,274,48,5893,0.387454017,1
protein export,1,274,17,5893,0.555374497,1
purine metabolism,6,274,79,5893,0.160236231,0.847631416
pyrimidine metabolism,1,274,47,5893,0.894255948,1
pyruvate metabolism,6,274,62,5893,0.066840403,0.83176545
quorum sensing,7,274,101,5893,0.188960661,0.847631416
riboflavin metabolism,0,274,10,5893,1,1
ribosome,1,274,55,5893,0.92799346,1
rna degradation,0,274,16,5893,1,1
rna polymerase,0,274,4,5893,1,1
selenocompound metabolism,1,274,10,5893,0.379039441,1
sphingolipid metabolism,0,274,2,5893,1,1
starch and sucrose metabolism,1,274,16,5893,0.533631254,1
streptomycin biosynthesis,1,274,8,5893,0.316906713,1
styrene degradation,3,274,11,5893,0.012421188,0.372635647
sulfur metabolism,1,274,49,5893,0.903936836,1
sulfur relay system,0,274,18,5893,1,1
synthesis and degradation of ketone bodies,2,274,10,5893,0.075753892,0.83176545
taurine and hypotaurine metabolism,1,274,9,5893,0.348710886,1
terpenoid backbone biosynthesis,1,274,16,5893,0.533631254,1
thiamine metabolism,0,274,13,5893,1,1
toluene degradation,0,274,3,5893,1,1
tryptophan metabolism,3,274,26,5893,0.117833439,0.83176545
two-component system,15,274,204,5893,0.051767509,0.776512638
tyrosine metabolism,4,274,27,5893,0.034516601,0.776512638
ubiquinone and other terpenoid-quinone biosynthesis,3,274,17,5893,0.041684572,0.776512638
"valine, leucine and isoleucine biosynthesis",0,274,19,5893,1,1
"valine, leucine and isoleucine degradation",1,274,47,5893,0.894255948,1
vancomycin resistance,1,274,9,5893,0.348710886,1
vitamin b6 metabolism,0,274,9,5893,1,1
xylene degradation,0,274,5,5893,1,1
