term	genes_in_set	total_genes_in_set	genes_in_universe	total_genes_in_universe	pvalue	adj_pvalue
synthesis and degradation of ketone bodies	1	20	10	5893	0.03345007434924762	0.7701145249328084
taurine and hypotaurine metabolism	0	20	9	5893	1.0	1.0
terpenoid backbone biosynthesis	1	20	16	5893	0.05300696065046792	0.7701145249328084
thiamine metabolism	0	20	13	5893	1.0	1.0
toluene degradation	0	20	3	5893	1.0	1.0
tryptophan metabolism	1	20	26	5893	0.08476893533886629	0.7701145249328084
two-component system	3	20	204	5893	0.03018325994303083	0.7701145249328084
tyrosine metabolism	0	20	27	5893	1.0	1.0
ubiquinone and other terpenoid-quinone biosynthesis	0	20	17	5893	1.0	1.0
valine, leucine and isoleucine biosynthesis	0	20	19	5893	1.0	1.0
valine, leucine and isoleucine degradation	1	20	47	5893	0.1482060052175634	0.8187127437196379
vancomycin resistance	0	20	9	5893	1.0	1.0
vitamin b6 metabolism	0	20	9	5893	1.0	1.0
xylene degradation	0	20	5	5893	1.0	1.0
