term,genes_in_set,total_genes_in_set,genes_in_universe,total_genes_in_universe,pvalue,adj_pvalue
streptomycin biosynthesis,1,457,8,5893,0.475952776,1
styrene degradation,0,457,11,5893,1,1
sulfur metabolism,1,457,49,5893,0.981168741,1
sulfur relay system,0,457,18,5893,1,1
synthesis and degradation of ketone bodies,0,457,10,5893,1,1
taurine and hypotaurine metabolism,1,457,9,5893,0.516647692,1
terpenoid backbone biosynthesis,0,457,16,5893,1,1
thiamine metabolism,0,457,13,5893,1,1
toluene degradation,0,457,3,5893,1,1
tryptophan metabolism,2,457,26,5893,0.609975993,1
two-component system,13,457,204,5893,0.809943403,1
tyrosine metabolism,1,457,27,5893,0.887467049,1
ubiquinone and other terpenoid-quinone biosynthesis,2,457,17,5893,0.384257042,1
"valine, leucine and isoleucine biosynthesis",0,457,19,5893,1,1
"valine, leucine and isoleucine degradation",2,457,47,5893,0.88952865,1
vancomycin resistance,3,457,9,5893,0.027341735,0.82025205
vitamin b6 metabolism,1,457,9,5893,0.516647692,1
xylene degradation,0,457,5,5893,1,1
