term,genes_in_set,total_genes_in_set,genes_in_universe,total_genes_in_universe,pvalue,adj_pvalue
ether lipid metabolism,0,20,3,5893,1,1
fatty acid biosynthesis,0,20,26,5893,1,1
fatty acid degradation,1,20,33,5893,0.106397303,0.770114525
fatty acid metabolism,1,20,49,5893,0.15402475,0.818712744
flagellar assembly,2,20,35,5893,0.006088899,0.730667923
fluorobenzoate degradation,0,20,8,5893,1,1
folate biosynthesis,0,20,25,5893,1,1
fructose and mannose metabolism,0,20,18,5893,1,1
galactose metabolism,0,20,4,5893,1,1
geraniol degradation,0,20,16,5893,1,1
glutathione metabolism,0,20,27,5893,1,1
glycerolipid metabolism,0,20,14,5893,1,1
glycerophospholipid metabolism,0,20,28,5893,1,1
"glycine, serine and threonine metabolism",1,20,50,5893,0.156919943,0.818712744
glycolysis / gluconeogenesis,0,20,37,5893,1,1
glyoxylate and dicarboxylate metabolism,2,20,57,5893,0.015620145,0.732841077
histidine metabolism,0,20,23,5893,1,1
homologous recombination,0,20,24,5893,1,1
inositol phosphate metabolism,0,20,7,5893,1,1
limonene and pinene degradation,0,20,7,5893,1,1
lipoic acid metabolism,0,20,2,5893,1,1
lipopolysaccharide biosynthesis,0,20,22,5893,1,1
lysine biosynthesis,0,20,15,5893,1,1
lysine degradation,1,20,19,5893,0.062643858,0.770114525
metabolic pathways,4,20,800,5893,0.283870221,1
methane metabolism,0,20,26,5893,1,1
microbial metabolism in diverse environments,3,20,264,5893,0.057677639,0.770114525
mismatch repair,0,20,19,5893,1,1
monobactam biosynthesis,0,20,9,5893,1,1
naphthalene degradation,0,20,2,5893,1,1
nicotinate and nicotinamide metabolism,0,20,21,5893,1,1
nitrogen metabolism,1,20,36,5893,0.115517179,0.770114525
nitrotoluene degradation,0,20,2,5893,1,1
non-homologous end-joining,0,20,2,5893,1,1
novobiocin biosynthesis,0,20,5,5893,1,1
nucleotide excision repair,0,20,8,5893,1,1
one carbon pool by folate,0,20,18,5893,1,1
oxidative phosphorylation,0,20,55,5893,1,1
pantothenate and coa biosynthesis,0,20,22,5893,1,1
pentose and glucuronate interconversions,0,20,7,5893,1,1
pentose phosphate pathway,0,20,26,5893,1,1
peptidoglycan biosynthesis,0,20,21,5893,1,1
phenylalanine metabolism,0,20,25,5893,1,1
"phenylalanine, tyrosine and tryptophan biosynthesis",1,20,30,5893,0.097188141,0.770114525
phosphonate and phosphinate metabolism,0,20,10,5893,1,1
phosphotransferase system (pts),0,20,5,5893,1,1
polyketide sugar unit biosynthesis,0,20,5,5893,1,1
porphyrin and chlorophyll metabolism,0,20,43,5893,1,1
propanoate metabolism,1,20,48,5893,0.151120114,0.818712744
protein export,0,20,17,5893,1,1
purine metabolism,0,20,79,5893,1,1
pyrimidine metabolism,0,20,47,5893,1,1
pyruvate metabolism,2,20,62,5893,0.018321027,0.732841077
quorum sensing,1,20,101,5893,0.292709987,1
riboflavin metabolism,0,20,10,5893,1,1
ribosome,0,20,55,5893,1,1
rna degradation,0,20,16,5893,1,1
rna polymerase,0,20,4,5893,1,1
selenocompound metabolism,0,20,10,5893,1,1
sphingolipid metabolism,0,20,2,5893,1,1
starch and sucrose metabolism,0,20,16,5893,1,1
streptomycin biosynthesis,0,20,8,5893,1,1
styrene degradation,0,20,11,5893,1,1
sulfur metabolism,0,20,49,5893,1,1
sulfur relay system,0,20,18,5893,1,1
synthesis and degradation of ketone bodies,1,20,10,5893,0.033450074,0.770114525
taurine and hypotaurine metabolism,0,20,9,5893,1,1
terpenoid backbone biosynthesis,1,20,16,5893,0.053006961,0.770114525
thiamine metabolism,0,20,13,5893,1,1
toluene degradation,0,20,3,5893,1,1
tryptophan metabolism,1,20,26,5893,0.084768935,0.770114525
two-component system,3,20,204,5893,0.03018326,0.770114525
tyrosine metabolism,0,20,27,5893,1,1
ubiquinone and other terpenoid-quinone biosynthesis,0,20,17,5893,1,1
"valine, leucine and isoleucine biosynthesis",0,20,19,5893,1,1
"valine, leucine and isoleucine degradation",1,20,47,5893,0.148206005,0.818712744
vancomycin resistance,0,20,9,5893,1,1
vitamin b6 metabolism,0,20,9,5893,1,1
xylene degradation,0,20,5,5893,1,1
