term	genes_in_set	total_genes_in_set	genes_in_universe	total_genes_in_universe	pvalue	adj_pvalue
glycolysis / gluconeogenesis	1	457	37	5893	0.9500256521551541	1.0
glyoxylate and dicarboxylate metabolism	3	457	57	5893	0.8299381143971409	1.0
histidine metabolism	3	457	23	5893	0.262297296198371	1.0
homologous recombination	2	457	24	5893	0.5656700200284672	1.0
inositol phosphate metabolism	1	457	7	5893	0.43183975660783025	1.0
limonene and pinene degradation	2	457	7	5893	0.09711699075124053	1.0
lipoic acid metabolism	0	457	2	5893	1.0	1.0
lipopolysaccharide biosynthesis	0	457	22	5893	1.0	1.0
lysine biosynthesis	2	457	15	5893	0.3263625967144774	1.0
lysine degradation	2	457	19	5893	0.4398990911323101	1.0
metabolic pathways	50	457	800	5893	0.9655253059017039	1.0
methane metabolism	1	457	26	5893	0.8779610304770322	1.0
microbial metabolism in diverse environments	11	457	264	5893	0.9942788999126531	1.0
mismatch repair	3	457	19	5893	0.17869837282603132	1.0
monobactam biosynthesis	0	457	9	5893	1.0	1.0
naphthalene degradation	0	457	2	5893	1.0	1.0
nicotinate and nicotinamide metabolism	1	457	21	5893	0.8169798471486589	1.0
nitrogen metabolism	2	457	36	5893	0.7806864382581822	1.0
nitrotoluene degradation	0	457	2	5893	1.0	1.0
non-homologous end-joining	0	457	2	5893	1.0	1.0
novobiocin biosynthesis	1	457	5	5893	0.33218980359078387	1.0
nucleotide excision repair	1	457	8	5893	0.47595277584514595	1.0
one carbon pool by folate	1	457	18	5893	0.7666411715796703	1.0
oxidative phosphorylation	1	457	55	5893	0.9884493785820108	1.0
pantothenate and coa biosynthesis	2	457	22	5893	0.5178578432331378	1.0
pentose and glucuronate interconversions	0	457	7	5893	1.0	1.0
pentose phosphate pathway	0	457	26	5893	1.0	1.0
peptidoglycan biosynthesis	6	457	21	5893	0.004176648600400779	0.5011978320480935
phenylalanine metabolism	2	457	25	5893	0.588264771698191	1.0
phenylalanine, tyrosine and tryptophan biosynthesis	6	457	30	5893	0.025255352774036958	0.820252050411794
phosphonate and phosphinate metabolism	1	457	10	5893	0.5541888212746039	1.0
phosphotransferase system (pts)	0	457	5	5893	1.0	1.0
polyketide sugar unit biosynthesis	1	457	5	5893	0.33218980359078387	1.0
porphyrin and chlorophyll metabolism	4	457	43	5893	0.4304398083240809	1.0
propanoate metabolism	3	457	48	5893	0.7310954899798153	1.0
protein export	0	457	17	5893	1.0	1.0
purine metabolism	6	457	79	5893	0.5827436761620977	1.0
pyrimidine metabolism	1	457	47	5893	0.9778391240015962	1.0
pyruvate metabolism	3	457	62	5893	0.8700689005814073	1.0
quorum sensing	11	457	101	5893	0.15753523761953817	1.0
riboflavin metabolism	1	457	10	5893	0.5541888212746039	1.0
ribosome	6	457	55	5893	0.2518254688188012	1.0
rna degradation	3	457	16	5893	0.12210665571201053	1.0
rna polymerase	1	457	4	5893	0.2760062137964159	1.0
selenocompound metabolism	0	457	10	5893	1.0	1.0
sphingolipid metabolism	0	457	2	5893	1.0	1.0
starch and sucrose metabolism	0	457	16	5893	1.0	1.0
streptomycin biosynthesis	1	457	8	5893	0.47595277584514595	1.0
styrene degradation	0	457	11	5893	1.0	1.0
sulfur metabolism	1	457	49	5893	0.9811687405233066	1.0
sulfur relay system	0	457	18	5893	1.0	1.0
synthesis and degradation of ketone bodies	0	457	10	5893	1.0	1.0
taurine and hypotaurine metabolism	1	457	9	5893	0.5166476919761953	1.0
terpenoid backbone biosynthesis	0	457	16	5893	1.0	1.0
thiamine metabolism	0	457	13	5893	1.0	1.0
toluene degradation	0	457	3	5893	1.0	1.0
tryptophan metabolism	2	457	26	5893	0.6099759933627391	1.0
two-component system	13	457	204	5893	0.8099434026288808	1.0
tyrosine metabolism	1	457	27	5893	0.8874670487260864	1.0
ubiquinone and other terpenoid-quinone biosynthesis	2	457	17	5893	0.3842570421694359	1.0
valine, leucine and isoleucine biosynthesis	0	457	19	5893	1.0	1.0
valine, leucine and isoleucine degradation	2	457	47	5893	0.8895286498665135	1.0
vancomycin resistance	3	457	9	5893	0.027341735013726467	0.820252050411794
vitamin b6 metabolism	1	457	9	5893	0.5166476919761953	1.0
xylene degradation	0	457	5	5893	1.0	1.0
