term	genes_in_set	total_genes_in_set	genes_in_universe	total_genes_in_universe	pvalue	adj_pvalue
methane metabolism	1	437	26	5893	0.8657044064731068	1.0
microbial metabolism in diverse environments	16	437	264	5893	0.8364242903112631	1.0
mismatch repair	1	437	19	5893	0.769214288821411	1.0
monobactam biosynthesis	0	437	9	5893	1.0	1.0
naphthalene degradation	0	437	2	5893	1.0	1.0
nicotinate and nicotinamide metabolism	1	437	21	5893	0.8022785646578603	1.0
nitrogen metabolism	1	437	36	5893	0.9381085301825992	1.0
nitrotoluene degradation	0	437	2	5893	1.0	1.0
non-homologous end-joining	1	437	2	5893	0.14282412919421136	1.0
novobiocin biosynthesis	1	437	5	5893	0.31980952829793063	1.0
nucleotide excision repair	1	437	8	5893	0.46031799013816843	1.0
one carbon pool by folate	1	437	18	5893	0.7506682506129189	1.0
oxidative phosphorylation	1	437	55	5893	0.9858497726337365	1.0
pantothenate and coa biosynthesis	1	437	22	5893	0.8169931878274582	1.0
pentose and glucuronate interconversions	0	437	7	5893	1.0	1.0
pentose phosphate pathway	0	437	26	5893	1.0	1.0
peptidoglycan biosynthesis	5	437	21	5893	0.016514791207882868	1.0
phenylalanine metabolism	4	437	25	5893	0.10955029743055861	1.0
phenylalanine, tyrosine and tryptophan biosynthesis	5	437	30	5893	0.06708326919811844	1.0
phosphonate and phosphinate metabolism	1	437	10	5893	0.5374983524235916	1.0
phosphotransferase system (pts)	0	437	5	5893	1.0	1.0
polyketide sugar unit biosynthesis	1	437	5	5893	0.31980952829793063	1.0
porphyrin and chlorophyll metabolism	2	437	43	5893	0.839246504684038	1.0
propanoate metabolism	3	437	48	5893	0.7019534279049395	1.0
protein export	0	437	17	5893	1.0	1.0
purine metabolism	7	437	79	5893	0.36973154522691754	1.0
pyrimidine metabolism	1	437	47	5893	0.9736448035258263	1.0
pyruvate metabolism	4	437	62	5893	0.6853219948511109	1.0
quorum sensing	9	437	101	5893	0.33307748861183994	1.0
riboflavin metabolism	0	437	10	5893	1.0	1.0
ribosome	5	437	55	5893	0.3870193313256942	1.0
rna degradation	3	437	16	5893	0.1103387797914524	1.0
rna polymerase	1	437	4	5893	0.26528949232369753	1.0
selenocompound metabolism	0	437	10	5893	1.0	1.0
sphingolipid metabolism	0	437	2	5893	1.0	1.0
starch and sucrose metabolism	0	437	16	5893	1.0	1.0
streptomycin biosynthesis	1	437	8	5893	0.46031799013816843	1.0
styrene degradation	1	437	11	5893	0.5718538207196104	1.0
sulfur metabolism	3	437	49	5893	0.7152822554615169	1.0
sulfur relay system	0	437	18	5893	1.0	1.0
synthesis and degradation of ketone bodies	1	437	10	5893	0.5374983524235916	1.0
taurine and hypotaurine metabolism	1	437	9	5893	0.500392932928169	1.0
terpenoid backbone biosynthesis	0	437	16	5893	1.0	1.0
thiamine metabolism	0	437	13	5893	1.0	1.0
toluene degradation	0	437	3	5893	1.0	1.0
tryptophan metabolism	3	437	26	5893	0.3028634332188996	1.0
two-component system	14	437	204	5893	0.6601739137035099	1.0
tyrosine metabolism	2	437	27	5893	0.6056282971356102	1.0
ubiquinone and other terpenoid-quinone biosynthesis	2	437	17	5893	0.36278467258965896	1.0
valine, leucine and isoleucine biosynthesis	1	437	19	5893	0.769214288821411	1.0
valine, leucine and isoleucine degradation	4	437	47	5893	0.4645883918373127	1.0
vancomycin resistance	1	437	9	5893	0.500392932928169	1.0
vitamin b6 metabolism	1	437	9	5893	0.500392932928169	1.0
xylene degradation	0	437	5	5893	1.0	1.0
